Kamil,Nowak1,Informatyka dzienne,Dzienne,459,2000-02-12,1@pjwstk.edu.pl,Alina
Pawe?,Nowak1,Informatyka dzienne,Dzienne,459,2000-02-12,1@pjwstk.edu.pl,Alina,Adam
Pawe?,Nowak1,Informatyka magisterskie 4 sem,Dzienne,459,2000-02-12,1@pjwstk.edu.pl,Alina,Adam
Pawe?,Nowak1,Informatyka doktoranckie,Dzienne,459,2000-02-12,1@pjwstk.edu.pl,Alina,Adam
Kaja,Jankowski29,Sztuka Nowych Medi?w dzienne,Dzienne,4816,2000-02-12,29@pjwstk.edu.pl,Alina,Adam
Justyna,Kowalski30,Sztuka Nowych Medi?w dzienne,Dzienne,4749,2000-02-12,30@pjwstk.edu.pl,Alina,Adam
Justyna,Kowalski30,Sztuka Nowych Medi?w uzupe?niaj?ce magisterskie,Dzienne,4749,2000-02-12,30@pjwstk.edu.pl,Alina,Adam
Micha?,Nowak31,Sztuka Nowych Medi?w dzienne,Dzienne,4432,2000-02-12,31@pjwstk.edu.pl,Alina,Adam
Micha?,Nowak31,Sztuka Nowych Medi?w uzupe?niaj?ce magisterskie,Dzienne,4432,2000-02-12,31@pjwstk.edu.pl,Alina,Adam
Kamil,Brz?czyszczykiewicz32,Sztuka Nowych Medi?w dzienne,Dzienne,4757,2000-02-12,32@pjwstk.edu.pl,Alina,Adam
Marta,Maciejewski33,Sztuka Nowych Medi?w dzienne,Dzienne,4655,2000-02-12,33@pjwstk.edu.pl,Alina,Adam
Szymon,Jankowski34,Sztuka Nowych Medi?w dzienne,Dzienne,4398,2000-02-12,34@pjwstk.edu.pl,Alina,Adam
Zbigniew,Kowalski35,Sztuka Nowych Medi?w dzienne,,4450,2000-02-12,35@pjwstk.edu.pl,Alina,Adam
Karolina,Nowak36,Sztuka Nowych Medi?w dzienne,,4455,2000-02-12,36@pjwstk.edu.pl,Alina,Adam
Joanna,Brz?czyszczykiewicz37,Sztuka Nowych Medi?w dzienne,Dzienne,4799,2000-02-12,37@pjwstk.edu.pl,Alina,Adam
Joanna,Brz?czyszczykiewicz37,Sztuka Nowych Medi?w uzupe?niaj?ce magisterskie,Dzienne,4799,2000-02-12,37@pjwstk.edu.pl,Alina,Adam
Irena,Maciejewski38,Sztuka Nowych Medi?w dzienne,Dzienne,4626,2000-02-12,38@pjwstk.edu.pl,Alina,Adam
Irena,Maciejewski38,Sztuka Nowych Medi?w zaoczne,Zaoczne,4626,2000-02-12,38@pjwstk.edu.pl,Alina,Adam
Adam,Jankowski39,Sztuka Nowych Medi?w dzienne,Dzienne,4446,2000-02-12,39@pjwstk.edu.pl,Alina,Adam
Kacper,Kowalski40,Sztuka Nowych Medi?w dzienne,Dzienne,4396,2000-02-12,40@pjwstk.edu.pl,Alina,Adam
Kacper,Kowalski40,Sztuka Nowych Medi?w uzupe?niaj?ce magisterskie,Dzienne,4396,2000-02-12,40@pjwstk.edu.pl,Alina,Adam
Pawe?,Nowak41,Sztuka Nowych Medi?w dzienne,Dzienne,4902,2000-02-12,41@pjwstk.edu.pl,Alina,Adam
Pawe?,Nowak41,Sztuka Nowych Medi?w zaoczne,Zaoczne,4902,2000-02-12,41@pjwstk.edu.pl,Alina,Adam
Aleksandra,,Sztuka Nowych Medi?w dzienne,Dzienne,4434,2000-02-12,42@pjwstk.edu.pl,Alina,Adam
Aleksandra,Brz?czyszczykiewicz42,Sztuka Nowych Medi?w zaoczne,Zaoczne,4434,2000-02-12,42@pjwstk.edu.pl,Alina,Adam
Aleksandra,Brz?czyszczykiewicz42,Sztuka Nowych Medi?w zaoczne 6 sem.,Zaoczne,4434,2000-02-12,42@pjwstk.edu.pl,Alina,Adam
Katarzyna,Maciejewski43,Sztuka Nowych Medi?w dzienne,Dzienne,4517,2000-02-12,43@pjwstk.edu.pl,Alina,Adam
Grzegorz,Jankowski44,Sztuka Nowych Medi?w dzienne,Dzienne,4705,2000-02-12,44@pjwstk.edu.pl,Alina,Adam
Adrian,Kowalski45,Sztuka Nowych Medi?w dzienne,Dzienne,4661,2000-02-12,45@pjwstk.edu.pl,Alina,Adam
Jan,Nowak46,Sztuka Nowych Medi?w dzienne,Dzienne,4842,2000-02-12,46@pjwstk.edu.pl,Alina,Adam
Jan,Nowak46,Sztuka Nowych Medi?w zaoczne 6 sem.,Zaoczne,4842,2000-02-12,46@pjwstk.edu.pl,Alina,Adam
Jakub,Brz?czyszczykiewicz47,Sztuka Nowych Medi?w dzienne,Dzienne,4709,2000-02-12,47@pjwstk.edu.pl,Alina,Adam
Iga,Maciejewski48,Sztuka Nowych Medi?w dzienne,Dzienne,4792,2000-02-12,48@pjwstk.edu.pl,Alina,Adam
Jakub,Jankowski49,Sztuka Nowych Medi?w dzienne,Dzienne,4789,2000-02-12,49@pjwstk.edu.pl,Alina,Adam
Jakub,Jankowski49,Sztuka Nowych Medi?w zaoczne,Zaoczne,4789,2000-02-12,49@pjwstk.edu.pl,Alina,Adam
Maria,Kowalski50,Sztuka Nowych Medi?w dzienne,Dzienne,4708,2000-02-12,50@pjwstk.edu.pl,Alina,Adam
Artur,Nowak51,Sztuka Nowych Medi?w dzienne,Dzienne,4404,2000-02-12,51@pjwstk.edu.pl,Alina,Adam
Sabina,Brz?czyszczykiewicz52,Sztuka Nowych Medi?w dzienne,Dzienne,4513,2000-02-12,52@pjwstk.edu.pl,Alina,Adam
Sabina,Brz?czyszczykiewicz52,Sztuka Nowych Medi?w uzupe?niaj?ce magisterskie,Dzienne,4513,2000-02-12,52@pjwstk.edu.pl,Alina,Adam
?ukasz,Maciejewski53,Sztuka Nowych Medi?w dzienne,Dzienne,4442,2000-02-12,53@pjwstk.edu.pl,Alina,Adam
Marcin,Jankowski54,Sztuka Nowych Medi?w dzienne,Dzienne,4732,2000-02-12,54@pjwstk.edu.pl,Alina,Adam
Rafa?,Kowalski55,Sztuka Nowych Medi?w dzienne,Dzienne,4506,2000-02-12,55@pjwstk.edu.pl,Alina,Adam
Jan,Nowak56,Sztuka Nowych Medi?w dzienne,Dzienne,4649,2000-02-12,56@pjwstk.edu.pl,Alina,Adam
